,location,name,beds,date,price,rating
0,Private room in Makati,TKA 407: Fully Furnished Studio near Makati CBD,1 double bed,Sep 20 – 27,$16 night$16 per night,4.8 (49)
1,Apartment in Makati,TKA 408: Fully Furnished Studio near Makati CBD,1 double bed,Sep 25 – Oct 2,$16 night$16 per night,4.76 (45)
2,Apartment in Makati,Spectacular View at Gramercy 69th 1BR Penthouse!⭐,1 bed,Nov 12 – 19,$91 night$91 per night,4.79 (213)
3,Private room in Makati,Backpackers Private Room @ Makati,1 single bed,Aug 3 – 10,$10 night$10 per night,4.94 (16)
4,Apartment in Makati,Top Location! Makati Greenbelt Laureano Di Trevi,1 queen bed,Dec 15 – 22,$18 night$18 per night,4.4 (10)
5,Private room in Makati,TKA 316: Furnished Studio near Ayala Ave & Trident,1 double bed,Sep 13 – 20,$16 night$16 per night,4.67 (18)
6,Loft in Mandaluyong,Designer Industrial Loft in the ❤ of Mandaluyong,2 beds,Apr 19 – 26,$58 night$58 per night,5.0 (8)
7,Condo in Pasay,"One Bedroom Condo in Roxas Boulevard, Pasay City",1 bed,Dec 1 – 8,$22 night$22 per night,4.8 (286)
8,Condo in Makati,1  BDRM CONDO  AT JAZZ  RES. MAKATI. IN ROOM WIFI,2 beds,Jun 15 – 22,$31 night$31 per night,4.84 (240)
9,Condo in Manila,8 Adriatico with Manila Bay view Ermita,1 queen bed,Oct 21 – 28,$51 night$51 per night,4.64 (215)
10,Condo in Mandaluyong,Studio @Edsa unliWifi Netflix,1 bed,Apr 18 – 25,$19 night$19 per night,5.0 (5)
11,Apartment in Makati,QUE 518: Furnished Studio for 2 near Uptown BGC,1 bed,Aug 19 – 26,$16 night$16 per night,4.63 (8)
12,Condo in Makati,Elegant chic unit w a sunroom & fast wifi in JAZZ,1 double bed,Aug 5 – 12,$22 night$22 per night,4.55 (11)
13,Apartment in Makati,PER 208: Furnished Studio for2 in Poblacion Makati,1 double bed,Oct 12 – 19,$16 night$16 per night,4.71 (17)
14,Condo in Makati,Best Makati View w/ Balcony at Jazz Residences,2 beds,Nov 21 – 28,$40 night$40 per night,4.82 (158)
15,Condo in Makati,Jazz up your life at level 43!,1 double bed,Oct 19 – 26,$27 night$27 per night,4.9 (31)
16,Apartment in Makati,Sanlorenzo  1bedroom in makati Free Netflix 20mbps,1 queen bed,Jun 19 – 26,$24 night$24 per night,4.54 (147)
17,Condo in Manila,"Cozy 1-bedroom unit in Taft Ave, Manila! (2-3 pax)",2 beds,Nov 9 – 16,$17 night$17 per night,5.0 (25)
18,Apartment in Mandaluyong,"Home away from home, with fast Wifi &  60""SmartTV",1 bed,Aug 12 – 19,$26 night$26 per night,4.95 (73)
19,Condo in Makati,Morning Sun Oasis next to Greenbelt. Fast Wifi,1 bed,Jul 7 – 14,$55 night$55 per night,4.95 (44)
20,Condo in Paco ,Studio w/ Stunning View +Netflix & High Speed Wifi,1 queen bed,Sep 29 – Oct 6,$25 night$25 per night,4.91 (106)
21,Private room in Makati,TKA 504: Furnished Studio near Ayala Ave & Trident,1 double bed,Oct 4 – 11,$16 night$16 per night,4.71 (21)
22,Private room in Makati,TKA 419 Furnished Studio in San Antonio Makati,1 double bed,Sep 18 – 25,$16 night$16 per night,4.8 (15)
23,Private room in Makati,Backpackers Private Loft @ Makati,1 bed,Aug 14 – 21,$10 night$10 per night,4.83 (12)
